Country,Year,fertility,life,population,child_mortality,gdp,region
Afghanistan,1970,7.671,36.663000000000004,11964906.0,307.8,1174.0,South Asia
Albania,1970,5.05,66.94800000000001,2135599.0,107.98,3712.0,Europe & Central Asia
Algeria,1970,7.641,50.36600000000001,13746185.0,242.2,7227.0,Middle East & North Africa
Angola,1970,7.301,37.032,5926333.0,262.29,5397.0,Sub-Saharan Africa
Antigua and Barbuda,1970,3.6839999999999997,65.898,65587.0,55.87,5807.0,America
Argentina,1970,3.073,66.449,23983358.0,72.4,9951.0,America
Armenia,1970,3.208,70.143,2518408.0,70.47,3533.0,Europe & Central Asia
Aruba,1970,2.908,69.14,59066.0,,6382.0,America
Australia,1970,2.859,70.81,12728362.0,21.4,19719.0,East Asia & Pacific
Austria,1970,2.292,70.11,7465908.0,29.0,17865.0,Europe & Central Asia
Azerbaijan,1970,4.612,65.035,5172002.0,75.11,7285.0,Europe & Central Asia
Bahamas,1970,3.531,65.943,169367.0,30.6,21210.0,America
Bahrain,1970,6.497999999999999,63.45,211878.0,76.8,31232.0,Middle East & North Africa
Bangladesh,1970,6.947,47.58,66881158.0,224.1,1226.0,South Asia
Barbados,1970,3.113,65.164,238593.0,48.1,9013.0,America
Belarus,1970,2.3040000000000003,72.32,9039503.0,27.88,5461.0,Europe & Central Asia
Belgium,1970,2.206,70.97,9624908.0,24.0,18903.0,Europe & Central Asia
Belize,1970,6.2989999999999995,65.566,122336.0,97.3,2509.0,America
Benin,1970,6.747999999999999,42.38,2849508.0,265.5,1205.0,Sub-Saharan Africa
Bhutan,1970,6.671,36.946999999999996,301879.0,271.5,1067.0,South Asia
Bolivia,1970,6.577999999999999,45.765,4216572.0,231.3,3678.0,America
Bosnia and Herzegovina,1970,2.8810000000000002,66.181,3564389.0,77.65,2500.0,Europe & Central Asia
Botswana,1970,6.641,54.75899999999999,692959.0,127.7,1567.0,Sub-Saharan Africa
Brazil,1970,5.024,58.865,96078304.0,133.7,5930.0,America
Brunei,1970,5.751,67.23100000000001,125088.0,64.55,74132.0,East Asia & Pacific
Bulgaria,1970,2.135,71.27,8489572.0,38.9,7971.0,Europe & Central Asia
Burkina Faso,1970,6.622999999999999,39.095,5807492.0,319.1,790.0,Sub-Saharan Africa
